"latitude","longitude","altitude","geometry","coordinates","name","dept","hour","description","_umap_options","code","nom"
"44.898467","6.640002",,"Point",,"BRIANÇON","05","14 heures 30","Sous-préfecture","DarkTurquoise",,
"43.406436","6.061984",,"Point",,"BRIGNOLES","83","18 heures 30","Place Caramy","DarkTurquoise",1,
"45.29441","3.38118",,"Point",,"BRIOUDE","43","10 heures 30","Place de Paris","Default",,
"45.163431","1.534213",,"Point",,"BRIVE-LA-GAILLARDE","19","15 heures","Place de la Guierle","DarkTurquoise",1,
"49.178035","-0.350345",,"Point",,"CAEN","14","14 heures 30","Place Saint-Pierre","DarkTurquoise",1,
"44.461728","1.41906",,"Point",,"CAHORS","46","14 heures","Rond-point Leclerc Auto","CornflowerBlue",1,
"50.952432","1.85375",,"Point",,"CALAIS","62","9 heures 30","Place de la Mairie","Default",1,
"50.190556","3.259099",,"Point",,"CAMBRAI","59","10 heures 30","Sucrerie Tereos d’Escaudœuvres","Default",1,
"43.55373","7.02032",,"Point",,"CANNES","06","10 heures","Gare SNCF","DarkTurquoise",,
"43.216929","2.350473",,"Point",,"CARCASSONNE","11","14 heures 30","Square André Chénier","CornflowerBlue",1,
"49.314618","-1.255703",,"Point",,"CARENTAN","50","14 heures","Gare SNCF","DarkTurquoise",,
"48.277881","-3.562843",,"Point",,"CARHAIX-PLOUGUER","29","10 heures 30","Place de la Gare","CornflowerBlue",1,
"43.604227","2.245787",,"Point",,"CASTRES","81","11 heures","Place Soult","CornflowerBlue",1,
"4.92646","-52.28924",,"Point",,"CAYENNE","973","9 heures","Montjoly 2","Default",,
"46.843168","-1.878898",,"Point",,"CHALLANS","85","10 heures 30","Boulevard Jean Yole – Salle Michel Vrignaud","Default",1,
"48.96261","4.366572",,"Point",,"CHÂLONS-EN-CHAMPAGNE","51","10 heures","Maison des syndicats","CornflowerBlue",1,
"46.784193","4.865227",,"Point",,"CHALON-SUR-SAÔNE","71","10 heures","Esplanade Sainte-Marie","DarkTurquoise",1,
"45.568141","5.919206",,"Point",,"CHAMBÉRY","73","14 heures","Place du palais de justice","Default",1,
"49.773702","4.714234",,"Point",,"CHARLEVILLE-MÉZIÈRES","08","14 heures","Avenue Francois Mitterrand","CornflowerBlue",1,
"48.442737","1.485767",,"Point",,"CHARTRES","28","14 heures 30","Théâtre","CornflowerBlue",1,
"47.82706","-0.70659",,"Point",,"CHÂTEAU-GONTIER","53","17 heures","Place Paul Doumer","Default",,
"49.04009","3.40477",,"Point",,"CHÂTEAU-THIERRY","02","16 heures","Place Paul Doumer","Default",1,
"47.721225","-1.376123",,"Point",,"CHÂTEAUBRIANT","44","10 heures","Place de la Mairie","Default",1,
"46.811418","1.691728",,"Point",,"CHÂTEAUROUX","36","10 heures","Place de la République","CornflowerBlue",1,
