"description","dept","name"
"Rond-point Marie Curie","45","PITHIVIERS"
"Place de la Mairie","46","BIARS-SUR-CÈRE"
"Place François Mitterrand","46","CAHORS"
"Lycée Jean-François Champollion","46","FIGEAC"
"Parc de la Préfecture","47","AGEN"
"Esplanade de Maré","47","MARMANDE"
"Théâtre Georges Leygues","47","VILLENEUVE-SUR-LOT"
"Place Urbain V","48","MENDE"
"Place du Maréchal Leclerc","49","ANGERS"
"Place Travot","49","CHOLET"
"Place de la Bilange","49","SAUMUR"
"Place du Port","49","SEGRÉ-EN-ANJOU"
"Mairie","50","AVRANCHES"
"Place Napoléon","50","CHERBOURG-EN-COTENTIN"
"Place Saint-Nicolas","50","COUTANCES"
"Hôtel de Ville","50","GRANVILLE"
"Place du Général de Gaulle (Mairie)","50","SAINT-LÔ"
"Maison des syndicats","51","CHÂLONS-EN-CHAMPAGNE"
"Place Carnot","51","ÉPERNAY"
"Route de Châlons Axon’ Cable","51","MONTMIRAIL"
"Maison des syndicats","51","REIMS"
"Place du Champ Benoist","51","SÉZANNE"
"Place de la Gare","51","VITRY-LE-FRANÇOIS"
"Place de l'Hôtel de Ville","52","CHAUMONT"
"Place Bel Air","52","LANGRES"
"Place Aristide Briand","52","SAINT-DIZIER"
"Square de Boston","53","LAVAL"
"Place Darche","54","LONGWY"
"Place Carnot","54","NANCY"
"Place des Trois Évéchés","54","TOUL"
"Parking Lidl Bradfer","55","BAR-LE-DUC"
"Quai Bonnelle","56","BELLE-ÎLE-EN-MER"
"Place du 19 Mars 1962","56","ÎLE DE GROIX"
"Pont Saint-Christophe","56","LORIENT"
"Place de l'Hôtel de Ville","56","PLOËRMEL"
"La Plaine","56","PONTIVY"
"Giratoire de Kerlann","56","VANNES"
"Place de la Gare","57","METZ"
"Rue du 13e de Ligne (Gamm Vert)","58","NEVERS"
"Sous-préfecture","59","CAMBRAI"
"Place d’Armes","59","DOUAI"
"Place de la Gare","59","DUNKERQUE"
"Place Georges Coppeaux","59","FOURMIES"
"Place Simon Vollant<br>Porte de Paris","59","LILLE"
"Pôle Gare","59","MAUBEUGE"
"Place d’Armes","59","VALENCIENNES"
"Préfecture","60","BEAUVAIS"
"CHI","60","CLERMONT"
"Cours Guynemer","60","COMPIÈGNE"
"La Manekine","60","PONT-SAINTE-MAXENCE"
"Boulevard de Strasbourg<br>Conseil Départemental","61","ALENÇON"
"Hôtel de Ville","61","ARGENTAN"
"Place du Général de Gaulle","61","FLERS"
"Place de la Poste","61","L'AIGLE"
"Place de la Mairie","61","MORTAGNE-AU-PERCHE"
"Place de la Gare","62","ARRAS"
"Gare SNCF","62","BÉTHUNE"
"Place d’Armes","62","CALAIS"
"Place du 1er Mai","63","CLERMONT-FERRAND"
"Parvis de la Halle aux grains","63","ISSOIRE"
"Place Sainte-Ursule","64","BAYONNE"
"Place de Verdun","64","PAU"
"Bourse du Travail","65","TARBES"
"Place de Catalogne","66","PERPIGNAN"
"Sous-préfecture","66","PRADES"
"Avenue de la Liberté","67","STRASBOURG"
"Rue de Turenne","68","COLMAR"
"Place du Général de Gaulle<br>Sous-préfecture","68","MULHOUSE"
"Manufacture des Tabacs","69","LYON"
"Place Pierre Renet","70","VESOUL"
"Parking de la gare","71","AUTUN"
"Maison des Syndicats","71","CHALON-SUR-SAÔNE"
"Lycée La Prat’s","71","CLUNY"
"Avenue François Mitterrand Devant l'Alto","71","LE CREUSOT"
"Place de la Charité","71","LOUHANS"
"Esplanade Lamartine","71","MÂCON"
"Place de la Mairie","71","MONCEAU-LES-MINES"
"Place de l’Hôtel de Ville","71","TOURNUS"
"Place des Jacobins","72","LE MANS"
"Gare SNCF","73","ALBERTVILLE"
"Place du palais de justice","73","CHAMBÉRY"
"Champ de Foire","73","SAINT-JEAN-DE-MAURIENNE"
"Préfecture","74","ANNECY"
"Place de l'Hôtel de Ville","74","ANNEMASSE"
"Place des Allobroges","74","CLUSES"
"Quai de l’Hôtel de Ville","74","SALLANCHES"
"Place des Arts","74","THONON-LES-BAINS"
"Bastille","75","PARIS"
"Place Pierre Semard <br> Gare SNCF","76","DIEPPE"
"Hôtel de ville","76","ELBEUF"
"Place Guillaume le Conquérant","76","EU"
"Espace Henri Dunant","76","FÉCAMP"
"Place Nationale","76","GOURNAY-EN-BRAY"
"Cercle Franklin","76","LE HAVRE"
"Mairie","76","LILLEBONNE"
"Cours Clémenceau","76","ROUEN"
"Place Saint-Jacques","79","BRESSUIRE"
"Place de la Brèche","79","NIORT"
"Place du Drapeau","79","PARTHENAY"
"Place Flandres Dunkerque","79","THOUARS"
"Boulevard Vauban","80","ABBEVILLE"
"Maison de la Culture","80","AMIENS"
"Place du Vigan","81","ALBI"
"Place Soult","81","CASTRES"
"Esplanade des Fontaines","82","MONTAUBAN"
"Berges du Caramy","83","BRIGNOLES"
"Sous-préfecture","83","DRAGUIGNAN"
"Place de la Liberté","83","TOULON"
"Porte Saint-Dominique","84","AVIGNON"
"Place du Champ de Foire","85","CHALLANS"
"Place de Verdun","85","FONTENAY-LE-COMTE"
"Boulevard Antoine Tortat – CCI","85","LA ROCHE-SUR-YON"
"Rond-point de Décahtlon","85","LES SABLES-D’OLONNE"
"Le Kiosque Boulevard Blossac","86","CHÂTELLERAULT"
"Mairie","86","CIVRAY"
