"latitude","longitude","altitude","geometry","coordinates","name","dept","hour","description","_umap_options","code","nom"
"48.509753","-2.751904",,"Point",,"SAINT-BRIEUC","22","14 heures","Place de la Liberté","CornflowerBlue",1,
"46.173783","1.879054",,"Point",,"GUÉRET","23","10 heures","Gare SNCF Gare routière","DarkTurquoise",1,
"44.852914","0.48658",,"Point",,"BERGERAC","24","15 heures","Place du Palais","DarkTurquoise",1,
"45.18629","0.720849",,"Point",,"PÉRIGUEUX","24","10 heures 30","Palais de Justice","DarkTurquoise",1,
"44.86953","1.205803",,"Point",,"SARLAT-LA-CANÉDA","24","15 heures","Lycée Pré de Cordy","DarkTurquoise",1,
"47.244199","6.020304",,"Point",,"BESANÇON","25","14 heures","Parking Battant","DarkTurquoise",1,
"47.500431","6.811395",,"Point",,"MONTBÉLIARD","25","14 heures 30","Champ de Foire","DarkTurquoise",1,
"46.90413","6.35453",,"Point",,"PONTARLIER","25","16 heures 30","Place d’Arçon","DarkTurquoise",1,
"44.531103","4.74574",,"Point",,"MONTÉLIMAR","26","14 heures","Rond-point du Soleil Levant","Default",1,
"44.361818","5.140126",,"Point",,"NYONS","26","10 heures","Mairie","Default",1,
"45.0454","5.049883",,"Point",,"ROMANS-SUR-ISÈRE","26","10 heures","Place Jules Nadi","Default",1,
"44.940061","4.915481",,"Point",,"VALENCE","26","14 heures 30","Giratoire de Valence 2","Default",1,
"49.023239","1.136377",,"Point",,"ÉVREUX","27","12 heures","Rond-point Cora","DarkTurquoise",1,
"49.27876","1.77761",,"Point",,"GISORS","27","10 heures","Place de la Mairie","DarkTurquoise",1,
"49.35732","0.516529",,"Point",,"PONT-AUDEMER","27","10 heures","Place de Verdun","DarkTurquoise",1,
"49.094771","1.486303",,"Point",,"VERNON","27","10 heures","Rond-point Clémenceau","DarkTurquoise",1,
"48.442737","1.485767",,"Point",,"CHARTRES","28","14 heures 30","Théâtre","CornflowerBlue",1,
"48.390615","-4.485641",,"Point",,"BREST","29","10 heures 30","Place de la Liberté","CornflowerBlue",1,
